,mean_treated,mean_control,smd,abs_smd,balanced
f3,4.169411640899901,4.232820957687828,-0.04883634026324019,0.04883634026324019,True
f6,-4.1827923926987065,-3.9998797265488255,-0.04044806888649284,0.04044806888649284,True
f5,4.0266023053078985,4.039338647301743,-0.030556830660414907,0.030556830660414907,True
f9,16.05258862254133,15.886252389523134,0.02400105773455969,0.02400105773455969,True
f1,10.070336468853249,10.067935192469877,0.023994400679302374,0.023994400679302374,True
f8,3.933391878647928,3.9346517722432726,-0.022433335895262342,0.022433335895262342,True
f7,5.105555333120273,5.080284340120637,0.02126952997581918,0.02126952997581918,True
f10,5.333659929290435,5.331898215658715,0.010563463240729275,0.010563463240729275,True
f4,10.339245221446188,10.33652566617022,0.007965661878540847,0.007965661878540847,True
f0,19.614754927917357,19.651704598341983,-0.006865618372250798,0.006865618372250798,True
f2,8.446301724837399,8.448173251434486,-0.00624099454533799,0.00624099454533799,True
f11,-0.17098480762494814,-0.17086775002078694,-0.0051595279790242286,0.0051595279790242286,True
